id	site_name	site_code	reference
73	Arslantepe	ARST	Bartosiewicz, L. (1998). Interim Report on the Bronze Age Animal Bones from Arslantepe (Malatya, Anatolia). In: Archaeozoology of the Near East III - Proceedings of the third international symposium on the Archaeozoology of southwestern Asia and adjacent areas. Edited by Buitenhuis, H.; Bartosiewicz, L. and Choyke, A.M. ARC - Publicaties 18. Groningen, The Netherlands. pp. 221-232.
1028	Ashdod	ASHD	Melamed, Y. (2013). Botanical Remains from the Excavation on the Southern Beach of Ashdod. Atiqot 01/2013. 74:127-131.
1016	Ashkelon	ASH	Weiss, E. & Kislev, M. E. (2004). Plant Remains as Indicators for Economic Activity: A Case Study from Iron Age Ashkelon. Journal of Archaeological Science 31, pp 1-13.
1016	Ashkelon	ASH	Weiss, E., Kislev, M. E. & Mahler-Slasky, Y. (2008). Plant Remains. Chapter 23. In: Final Reports Of The Leon Levy Expedition to Ashkelon. Ashkelon 3. The Seventh Century B.C. Stager, L. E., Master, D. M., Schloen, J. D. (ed.). Harvard Semitic Museum Publications.
1016	Ashkelon	ASH	"Hesse, B. and Rookis, D. (2008). The Mammal Bones. In: Garfinkel, J. and Dag, D. Neolithic Ashkelon. Chapter 15, pp. 251-254."
1016	Ashkelon	ASH	"Hesse, B., Fulton, D. N. and Wapnish, P. (2011). Animal Remains. In: Stager, L. E., Master, D. M. and Schloen, J. D. The Leon Levy Expedition to Ashkelon. Ashkelon 3 - The Seventh Century B. C. Chapter 24, pp. 615-643. "
76	Asikli Hoyuk	ASIK	"Butenhuis, H. (1997). Asikli Höyük: A ""Protodomestication"" Site. In: Kokabi, M. and Wahl, J. (eds.). Proceedings of the 7th ICAZ Conference. Anthropozoologica Numéro 25-26: 655-662."
77	Assiros Toumba	AT	"Halstead, P. and G. Jones (1980). ""Early Neolithic Economy in Thessaly - Some Evidence from Excavations at Prodhromos."" Anthropoloyika 1: 93 - 117."
77	Assiros Toumba	AT	Jones, G. (1979). An analysis of the plant remains of Assiros Toumba. Cambridge, University of Cambridge.
77	Assiros Toumba	AT	"Jones, G. (1981). ""Crop processing at Assiros Toumba - a taphonomic study."" Zeitschrift für Archäologie 15: 105-111."
77	Assiros Toumba	AT	Jones, G. (1983). The use of ethnographic and ecological models in the interpretation of archaeological plant remains: case studies from Greece. Cambridge.
77	Assiros Toumba	AT	"Jones, G., K. Wardle, et al. (1986). ""Crop storage at Assiros."" Scientific American 254(3): 84 - 91."
79	Asvan region	ASVR	"Hillman, G. C. (1973). ""Agricultural productivity and past population potential at Asvan - An excercise in the calculation of carrying capacities."" Anatolian Studies 23: 225 - 240."
79	Asvan region	ASVR	"Hillman, G. C. (1973). ""Agricultural resources and settlement in the Asvan Region."" Anatolian Studies 23: 217 ff."
79	Asvan region	ASVR	"Willcox, G. H. (1974). ""A history of deforestation as indicated by charcoal analysis of four sites in eastern Anatolia."" Anatolian Studies 24: 117 - 33."
89	Ayios Dhemetrios	AD	Hansen, J. (1990). Botanical remains. Vasilikos Valley Project 3: Kalavasos-Ayios Dhimitrios II. Ceramics, objects, tombs, specialist studies. I. A. Todd. Göteborg, Paul Åströms Förlag: 82-93.
97	Bab'edh Dhra	BDRA	"McCreery, D. W. (1981). ""Flotation of the Bab edh-Dhra and Numeira plant remains."" Annual of the American School of Oriental Research 46: 165 - 169."
991	Bademagaci	BADE	"De Cupere B., Duru R. and Umurtak G. (2008). Animal husbandry at the Early Neolithic to Early Bronze Age site of Bademağacı (Antalya province, SW Turkey): evidence from the faunal remains. In E. Vila, L. Gourichon, A. Choyke and H. Buitenhuis (eds.), Zooarchaeology of the NearEast 8. Proceedings of the Eighth International Symposium on the Zooarchaeology of Southwestern Asia and Adjacent Areas. Archéorient, Maison de l’Orient et de la Méditerranée. Lyon: 367-405."
116	Bastam	B	Hopf, M. and U. Willerding (1988). Pflanzenreste. Bastam II. Ausgrabungen in den Urartäischen Anlagen1977-1978. W. Kleiss. Berlin, Gebr. Mann: 263 - 318, plates 44 - 46.
116	Bastam	B	"Krauß, R. (1975). Tierknochenfunde aus Bastam in Nordwest-Azerbaidjan/Iran (Fundmaterial der Grabungen 1970 und 1972. Dissertation. Institut für Palaeoanatomie, Domestikationsforschung und Geschichte der Tiermedizin der Universität München. München."
1052	Başur Höyük	BASU	"Berthon, R. (2013). New data on the exploitation of animal resources in the Upper Tigris River area (Turkey) during the second and first millenia BC. Archaeozoology of the Near East X, pp. 145-161."
120	Beer-Sheba	BESH	Liphschitz, N. and Y. Waisel (1973). Analysis of the botanical material of the 1969-1970 seasons and the climatic history of the Beer-Sheba region. Beersheba I. Excavations at Tel Beer-Sheba. 1969-1971 seasons. Y. Aharoni. Tel Aviv, Tel Aviv University: 97-105, plates 48-50.
120	Beer-Sheba	BESH	Liphschitz, N. (1996). Archaeobotanical investigations. The Nahal Qanah cave. Earliest gold in the southern Levant. A. Gopher and T. Tsuk. Tel Aviv, Tel Aviv University: 202-204.
120	Beer-Sheba	BESH	"Hellwing, S. 1984. Chapter six - Human Exploitation of Animal Resources in the Eraly Iron Age Strata at Tel Beer-Sheba. In: Herzog, Z. Beer-Sheba II - The Early Iron Age Settlements. Tel Aviv University. The Institute of Archeology and Ramot publishing group, Tel Aviv: 105-115."
120	Beer-Sheba	BESH	"Horwitz, L. K. 2006. Chapter 26 - Mammalian Remains from Areas H, L, P, and Q. In: Mazar, A. Excavations at Tel Beth-Shean 1989-1996. Volume I From the Late Bronze Age IIB to the Medieval Period. Israel Exploration Society. Institute of Archaeology, Hebrew University of Jerusalem, Jerusalem: 689-710."
121	Beidha	BEID	"Hecker, H. 1989: Appendix C. Beidha Natufian: faunal report. In: Byrd, B. F. Excavations at Beidha 1 - The Natufian Encampement at Beidha. Late Pleistocene Adaption in the Southern Levant. Jutland Archaological Society Publications XXIII:1, Aarhus University Press: 97-101."
1057	Beisamoun	BEIS	"Raban-Gerstel, N. and Bar-Oz, G. (2010). The faunal remains - Chapter 9. In: Rosenberg, D. An Early Pottery Neolithic Occurrence at Beisamoun, the Hula Valley, Northern Israel. The results of the 2007 salvage excavation. BAR: 97-104."
123	Bendebal	BEN	"Miller, N. F. (1983). ""Palaeoethnobotanical results from Bendebal and Jaffarabad."" Cahiers de la Délégation Archéologique Française en Iran 13: 277-284."
128	Beth Shean	BS	Kislev, M. E., Simchoni, O., Melamed, Y. and Maroz, L.(2009). Food and Industrial Crops. Chapter 17 Botanical Remains. In: Excavations at Tel Beth-Shean 1989-1996. Volume III. The 13th-11th Century BCE Strata in Areas N and S. Panitz-Cohen, N. & Mazar, A. (ed.). The Israel Exploration Society. The Institute of Archaeology, The Hebrew University of Jerusalem.
128	Beth Shean	BS	Liphschitz, N. (1989). Plant economy and diet in the Early Bronze Age in Israel: A summary of present research. L'urbanisation de la Palestine a l'age du Bronze ancien. Bilan et perspectives des recherches actuelles. P. d. Miroschedji. Oxford. 527: 269 - 277.
128	Beth Shean	BS	"Simchoni, O. & Kislev, M. E. (2006). Charred By-Products of Olive-Oil Production in the Iron Age. Chapter 24 In: Excavations at Tel Beth-Shean 1989-1996. Volume I. From the Late Bronze Age IIB to the Medieval Period. Mazar, A. (ed.). The Israel Exploration Society. The Institute of Archaeology, The Hebrew University of Jerusalem."
128	Beth Shean	BS	"Simchoni, O. & Kislev, M. (2012). Food and Fodder in Early Bronze Age Strata in Area M. Chapter 12 Botanical Remains. In: Excavations in Tel Beth-Shean 1989-1996. Volume IV. The 4th and 3rd Millenia BCE. Mazar, A. (ed.). The Israel Exploration Society. The Institute of Archaeology, The Hebrew University of Jerusalem"
128	Beth Shean	BS	Simchoni, O., Kislev, M. E. and Melamed, Y. (2007). Beth-Shean as a Trade Center For Crops in the Bronze Age: Botanical and Entomological Evidence. Chapter 15 Botanical Remains. In: Excavations at Tel Beth-Shean 1989-1996. Volume II. The Middle and Late Bronue Age Strata in Area R. Mazar, A. & Mullins, R. A. (ed.). The Israel Exploration Society. The Institute of Archaeology, The Hebrew University of Jerusalem
128	Beth Shean	BS	"Horwitz, L. K. 2006. Chapter 26 - Mammalian Remains from Areas H, L, P, and Q. In: Mazar, A. Excavations at Tel Beth-Shean 1989-1996. Volume I From the Late Bronze Age IIB to the Medieval Period. Israel Exploration Society. Institute of Archaeology, Hebrew University of Jerusalem, Jerusalem: 689-710."
1014	Bethsaida	BETH	Liphschitz, N. (2009). Archaeobotanical Finds from an Iron Age II Granary at Bethsaida. In Bethsaida A City by the North Shore of the Sea of Galilee. Arav, R., Freund, R. A. (ed.) Volume 4
129	Beycesultan	BEYS	"Helbaek, H. (1961). ""Late Bronze Age and Byzantine crops at Beycesultan in Anatolia."" Anatolian Studies 11: 77-97."
144	Bnei Beraq	BB	Liphschitz, N. (1989). Plant economy and diet in the Early Bronze Age in Israel: A summary of present research. L'urbanisation de la Palestine a l'age du Bronze ancien. Bilan et perspectives des recherches actuelles. P. d. Miroschedji. Oxford. 527: 269 - 277.
147	Bogazköy	BK	"Hopf, M. (1992). ""Plant remains from Bogazköy."" Review of Palaeobotany and Palynology 73: 99 - 104."
147	Bogazköy	BK	Neef, R. (2001). Getreide im Silokomplex an der Poternenmauer (Bogazköy) - Erste Aussagen zur Landwirtschaft. Die Ausgrabungen in Bogazköy-Hattusa 2000. J. Seeher. Berlin - New York, Walter de Gruyter. 3: 335 - 341.
147	Bogazköy	BK	"von den Driesch, A. ; Boessneck, J. (1981). Reste von Haus und Jagdtieren aus der Unterstadt von Boǧazköy-Ḫattuša - Grabungen 1958-1977. Gebr. Mann Verlag, Berlin."
150	Bosra	BOS	"Willcox, G. (1999). ""Charcoal analysis and Holocene vegetation history in southern Syria."" Quaternary Science Reviews INQUA symposium Ankara, The late Quaternary in the Eastern Mediterranean(Special issue): 711-716."
153	Bouqras	BOUQ	"Clason, A.T. (1980). The Animal Remains from Tell Es Sinn compared with those from Bouqras. Anatolica, 7:35-53."
1041	Büyüktepe Höyük	BÜYÜ	"Howell-Meurs, S. (2001). Early Bronze and Iron Age Animal Exploitation in Northeastern Anatolia - The faunal remains from Sos Höyük and Büyüktepe Höyük. BAR International Series 945"
163	Çadir Höyük	CADH	"Chernoff, M. C. and T. M. Harnischfeger (1996). ""Preliminary report on botanical remains from Çadir Höyük (1994 season)."" Anatolica 22: 159 - 179."
1044	Çamlıbel Tarlası	CAML	"Bartosiewicz, L.; Gillis, R.; Girdland Flink, L.; Evin, A.; Cucchi, T.; Hoelzel, R.; Vidarsdottir, U.; Dobney, K.; Larson, G. and Schoop, U.-D. (2013). Chalcolithic pig remains from Çamlibel Tarlasi, Central Anatolia. In Archaeozoology of the Near East X. Proceedings of the Tenth International Symposium on the Archaeozoology of South-Western Asia and Ajacent Areas, edited by B. De Cupere, V. Linseele and S. Hamilton-Dyer, pp. 101-120"
1030	Çatalhöyük	CAT	Fairbairn, A., Near, J. and Martinoli, M. (2005). Macrobotanical Investigation of the North, South and KOPAL Area Excavations at Çatalhöyük East. Chapter 8 in: Hodder, Ian: Inhabiting Catalhöyük. Reports from the 1995-99 seasons. McDonald Institute for Archaeological Research, Cambridge, 137-201.
1026	Çavi Tarlası	CAVI	"Schäffer, J. and Boessneck, J. (1988). Bericht über die Tierreste aus der halafzeitlichen Siedlung Çavi Tarlası (Nisibin/Osttürkei). Istanbuler Mitteilungen 38: 37-64."
172	Cayonu	CAY	van Zeist, W., de Roller, G. J. 2003. The Çayönü Archaeobotanical Record. Chapter 6 in: van Zeist, W. (ed.) Reports on Archaeobotanical Studies in the Old World. pp 143-166. Groningen, The Groningen Institute of Archeology, Univerity of Groningen
180	Choga Mami	CM	"Helbaek, H. (1972). ""Samarran irrigation agriculture at Choga Mami in Iraq."" Iraq 34: 35 - 48."
183	City of David	CD	Liphschitz, N. and Y. Waisel (1992). Macrobotanical remains. Excavations at the City of David 1978-1985. Volume III. Stratigraphical, environmental, and other reports. A. de Groot and D. T. Ariel. Jerusalem, Hebrew University of Jerusalem. 33: 105-121.
188	Corinth	C	Bookidis, N. (1990). Ritual dining in the sanctuary of Demeter and Kore at Corinth: some questions. Sympotica. O. Murray. Oxford: 86 - 94.
1015	Deir el-Balah	DB	Kislev, M. E. (2010). Cereal Grains from a Pit. In: Deir El-Balah: Excavations in 1977-1982 in the Cemetery and Settlement. Volume II The Finds. Dothan, E., Brandl, B. (ed.). Qedem Monographs of the Institute of Archaeology, The Hebrew University of Jerusalem.
200	Deir'Alla	DA	Neef, R. (1989). Plant remains from archaeological sites in lowland Iraq: Hellenistic and Neobabylonian Larsa. Larsa. Travaux de 1985. J.-L. Huot. Paris, Editions Recherche sur les civilisations: 151-161.
200	Deir'Alla	DA	"van Zeist, W. and J. A. H. Heeres (1973). ""Palaeobotanical Studies of Deir'Alla, Jordan."" Paléorient 1: 21 - 37."
202	Demircihüyük	DH	Schlichtherle, H. (1977/1978). Vorläufiger Bericht über die archäobotanischen Untersuchungen am Demercihüyük (Nordwestanatolien). Demircihüyük. M. Korfmann. 27/28, Teil 1: 45 - 53.
203	Dendra	DEN	Bottema, S., H. Helbaek, et al. (1983). Botanical studies. Appendix I. The Cuirass Tomb and other finds at Dendra. Part 2: Excavations in the cemeteries, the lower town and the citadel. P. Aström. 4: 43 - 44.
203	Dendra	DEN	Hjelmqvist, H. (1977). Some economic plants from the Greek Bronze Age. The Cuirass Tomb and other finds at Dendra. Part I: The chamber tombs. P. Aström. 4: 123 - 135.
211	Dhali Agridhi	DAGR	Stewart, R. T. (1974). Paleobotanical investigation: 1972 season. American expedition to Idalion, Cyprus. L. Stager, A. Walker and G. E. Wright, Bull. Am. Schools Orient. Res. Suppl. 18: 123 - 129.
212	Dhuweila	DHU	"Martin, L.(1998). The Animal Bones. In: Betts, A. V. G. and Colledge, S.; Martin, L.; McCartney, C.; Wright, K.; Yagodin, V. (eds.). The Harra and the Hamad - Excavations and Explorations in Eastern Jordan. Volume 1. Sheffield: 159-184."
213	Diban 11	DIBX	"Samuel, D. (2001). ""Archaeobotanical evidence and analysis."" In: Peuplement rural et aménagements hydroagricoles dans la moyenne vallée de l'Euphrate fin VII-XIXe siècle, edited by S. Berthier, pp. 347-481. Instictut Francais de Damas, Damascus."
214	Diban 5	DIBV	"Samuel, D. (2001). ""Archaeobotanical evidence and analysis."" In: Peuplement rural et aménagements hydroagricoles dans la moyenne vallée de l'Euphrate fin VII-XIXe siècle, edited by S. Berthier, pp. 347-481. Instictut Francais de Damas, Damascus."
216	Dikili Tash	DT	"Valamoti, S. (2004). ""Plants and people in Late Neolithic and Early Bronze Age Northern Greece. An archaeobotanical investigation"", Archaeopress, Oxford."
218	Dilkaya Höyük	DIL	Nesbitt, M. (1992). Early Bronze age crops and dung from Dilkaya Höyük. Ankara, British Institute of Archaeology.
219	Dimini	DIM	Kroll, H. (1979). Kulturpflanzen aus Dimini. Festschrift Maria Hopf. U. Körber-Grohne. Köln, Rheinland-Verlag. 8: 173 - 189.
995	Dinkha Tepe	DITE	"Gilbert, A. S. and Steinfeld, P. (1977). Faunal Remains from Dinkha Tepe, Northwestern Iran. – Journal of Field Archaology 4, 329-351."
1019	Domuztepe	DOMU	"Kansa, S. W.; Kennedy, A.; Campbell, S. and Carter, E. (2009). Resource Exploitation at Late Neolithic Domuztepe: Faunal and Botanical Evidence. Current Anthropology 50(6): 897-914."
231	Drachmani	DRA	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
235	Ebla	EBL	Wachter-Sarkady, C. (2013). Consuming Plants. Archaeobotanical Samples from Royal Palace G and Building P4. In: Ebla and its Landscapes. Early State Formation in the Ancient Near East. Matthiae, P. & Marchetti, N. (Editors).
247	El Kowm II	KOW2	"Helmer, D. (2000). Étude de la faune mammalienne d'El Kowm 2. In: Stordeur, D. El Kwom 2 - Une île dans le désert. La fin du Néolithique précéramique dans la steppe syrienne. Paris: 133-164."
255	El-Lejjun	ELEJ	Crawford, P. (1987). Food for a Roman legion: the plant remains from el-Lejjun. The Roman frontier in Central Jordan: Interim report on the Limes Arabicus Project, 1980-1985. S. T. Parker. Oxford, British Archaeological Reports, Intern. Series. 340: 691-704.
255	El-Lejjun	ELEJ	"Chesson, M.S.; Makarewicz, C.; Kuijt, I. and Whiting, C. (2005). Results of the 2001 Kerak Plateau Early Bronze Age Survey. The Annual of the American Schools of Oriental Research, Vol. 59:1+3+5+7+9-62"
258	Emar	EM	Riehl, S. (1999). Vorläufiger Bericht über die botanischen Funde aus Emar. Tübingen.
258	Emar	EM	"Gündem, C. Y. (2010). Animal based subsistence economy of Emar during the Bronze Age. In: Finkbeiner, U. und Sakal, F. (eds.). Emar after the closure of the Tabqa Dam. The Syrian - German Excavations 1996-2002. Volume I: Late Roman and Medieval Cemeteries and Environmental Studies. Subartu XXV, pp. 125-176."
260	En Besor	EBES	Liphschitz, N. (1989). Plant economy and diet in the Early Bronze Age in Israel: A summary of present research. L'urbanisation de la Palestine a l'age du Bronze ancien. Bilan et perspectives des recherches actuelles. P. d. Miroschedji. Oxford. 527: 269 - 277.
261	En Boqeq	EB	Liphschitz, N. and Y. Waisel (1993). The dendroarchaeological remains at En Boqeq. En Boqeq. Ausgrabungen in einer Oase am Toten Meer. Band I. Geographie und Geschichte der Oase. Das Spätrömisch-Byzantinische Kastell. M. Gideon. Mainz, Phillipp von Zabern: 391-396, plates 52-55.
263	En Rahel	ER	Liphschitz, N. (1989). Plant economy and diet in the Early Bronze Age in Israel: A summary of present research. L'urbanisation de la Palestine a l'age du Bronze ancien. Bilan et perspectives des recherches actuelles. P. d. Miroschedji. Oxford. 527: 269 - 277.
269	Eridu	E	Gillet, J. B. (1976). Botanical samples. Eridu. F. e. a. Safar. Baghdad, Ministry of Culture and Information: 317-318.
278	Ez Zantur	EZ	Karg, S. (1996). XII. Pflanzenreste aus den nabatäischen und spätrömischen Schichten. Petra Ez Zantur 1. Ergebnisse der Schweizerisch-Lichtensteinischen Ausgrabungen 1988 - 1992. B. Kolb, S. Schmid and R. Stucky. Mainz: 355 - 357; 997 - 1000; 394 - 407.
1055	Fikirtepe	FITE	"Boessneck, J. and von den Driesch, A. (1979). Die Tierknochenfunde aus der neolithischen Siedlung auf dem Fikirtepe bei Kadiköy am Marmarameer."
1049	Giricano	GIRI	"Berthon, R. (2013). New data on the exploitation of animal resources in the Upper Tigris River area (Turkey) during the second and first millenia BC. Archaeozoology of the Near East X, pp. 145-161."
307	Girikihaciyan	GH	"van Zeist, W. (1979/80). ""Plant remains from Girikihaciyan, Turkey."" Anatolica VII: 75 - 89."
309	Gla	GLA	"Jones, G. (1995). ""Charred grain from the Late Bronze Age storerooms at Gla / Boeotia."" Annual of the British School at Athens 90: 235 - 238."
310	Göbekli Tepe	GOB	"Peters, J.; Schmidt, K. (2004). Animals in the symbolic world of Pre-Pottery Neolithic Göbekli Tepe, south-eastern Turkey: a preliminary assessment. In: Anthropozoologica 39/1:179-218"
962	Gordion (Yassihöyük)	YAS	"Miller, N. F. (1999). ""Interpreting ancient environment and patterns of land use: seeds, charcoal and archaeological context."" Tüba - Ar 2: 15 - 29."
962	Gordion (Yassihöyük)	YAS	"Arter. S. A.; Zeder, M. (1994). Changing Patterns of Animal Utilization at Ancient Gordion. In: Paléorient. Vol. 20 N°2:105-118."
316	Gournia	GOU	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
317	Gre Virike	GV	"Oybak Dönmez, E. (2006). ""Prehistoric and Medieval plant remains from two sites on the Euphrates, south-eastern Turkey"". Turkish Journal of Botany 30:11-38."
318	Gritille	GRI	Miller, N. F. (1998). Patterns of agriculture and land use at Medieval Gritille. The archaeology of the frontier in the Medieval Near East: excavations at Gritille, Turkey. S. Redford, University of Pennsylvania Museum. 3: 211 - 252.
318	Gritille	GRI	"Voigt, M. M. (1985). ""Village on the Euphrates. Excavations at Neolithic Gritille in Turkey."" Expedition 27(1): 10-24."
318	Gritille	GRI	"Stein, G. (1989). Strategies of Risk Reduction in Herding and Hunting Systems of Neolithic Southeast Anatolia. In: Crabtree, P.; Campana, D. and Ryan, K. (eds.). Early Animal Domestication and ist Cultural Context. MASCA Research Papers in Science and Archaeology. pp. 87-97. "
324	Hacinebi Tepe	HACT	Miller, N. F. (1994). Appendix 1. Some archaeobotanical remains from the 1992 excavation season at Hacinebi Tepe. Mesopotamian-Anatolian interaction at Hacinebi, Turkey: Preliminary report on the 1992 excavations. G. J. Stein and A. Misir. 20: 145 - 189.
324	Hacinebi Tepe	HACT	"Miller, N. F. (1996). ""Hacinebi Tepe 1993: Archaeobotanical report."" American Journal of Archaeology 100: 248 - 257."
328	Hagia Triada	HAT	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
328	Hagia Triada	HAT	"Wilkens, B. (2003). Hunting and Breeding in ancient Crete. In: Kotjabopoulou, E.; Hamilakis, Y.; Halstead, P.; Gamble, C. und Paraskevi E. (eds.). Zooarchaeology in Ancient Greece - Recent Advances. Britisch School at Athens Studies 9, London: 85-90."
330	Hajji Ibrahim	HI	Miller, N. F. (1997). Sweyhat and Hajji Ibrahim: some archaeobotanical samples from the 1991 and 1993 seasons. Subsistence and settlement in a marginal environment: Tell es-Sweyhat, 1989 - 1995. R. L. Zettler. 14: 95 - 122.
332	Hala Sultan Tekke	HAST	Engelmark, R. and B. Wennberg (1985). Palaeobotanical investigations at Hala Sultan Tekke in Cyprus. In honorem Evert Baudou. U. o. U. Department of Archaeology. Umeå, Department of Archaeology, University of Umeå. 4: 277 - 282.
332	Hala Sultan Tekke	HAST	"Hjelmqvist, H. (1979). ""Some economic plants and weeds from the Bronze Age of Cyprus"". In Hala Sultan Tekke 5, edited by U. Öbrink, pp. 110 - 133. Paul Åströms Förlag, Göteborg."
340	Hassek Höyük	HH	Gregor, H.-J. (1992). Paläobotanische Untersuchungen zur antiken Pflanzenwelt des Hassek Höyük im Tal des oberen Euphrat und ein Versuch zur Rekonstruktion des dortigen Ökosystems für den Übergang von der späten Urukzeit zur frühen Bronzezeit. Hassek Höyük. Naturwissenschaftliche Untersuchungen und lithische Industrie. M. R. Behm-Blancke. Tübingen, Ernst Wasmuth: 34-57, plates 6-13.
340	Hassek Höyük	HH	"Stahl, U. (1989). Tierknochenfunde vom Hassek Höyük (Südostanatolien). Dissertation. Ludwig-Maximilians-Universität. München. "
1045	Hazor	HAZO	"Lev-Tov, J. and McGeough, K. (2007). Examining Feasting in Late Bronze Age Syro-Palestine Through Ancient Bones and Texts. In: The Archaeology of Food and Identity, K.C. Twiss (ed.), Occasional Paper 34. Center for Archaeological Investigations, Southern Illinois University Carbondale, pp. 85-111."
1045	Hazor	HAZO	"Marom, N.; Zuckerman, S. (2012). The zooarchaeology of exclusion and expropriation: Looking up from the lower city in Late Bronze Age Hazor. J. Anthropol. Archaeol. (2012), http://dx.doi.org/10.1016/j.jaa.2012.06.002"
346	Herakleion	HER	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
