"ProjectTaxon","Family","Genus","IDtype","DomProgWild"
"Cuminum cyminum","Apiaceae","Cuminum","Single ID","Wild"
"Cupressus sempervirens","Cupressaceae","Cupressus","Single ID","Wild"
"Cuscuta","Convolvulaceae","Cuscuta","Single ID","Wild"
"Cutandia","Poaceae","Cutandia","Single ID","Wild"
"Cynodon","Poaceae","Cynodon","Single ID","Wild"
"Cynodon dactylon","Poaceae","Cynodon","Single ID","Wild"
"Cynodon/Tragus","Poaceae","Cynodon/Tragus","Multi ID","Wild"
"Cyperaceae","Cyperaceae","Above Genus ID","Single ID","Wild"
"Cyperus","Cyperaceae","Cyperus","Single ID","Wild"
"Dactylis glomerata","Poaceae","Dactylis","Single ID","Wild"
"Datura","Solanaceae","Datura","Single ID","Wild"
"Descurainia","Brassicaceae","Descurainia","Single ID","Wild"
"Descurainia sophia","Brassicaceae","Descurainia","Single ID","Wild"
"Dianthus","Caryophyllaceae","Dianthus","Single ID","Wild"
"Dipsacaceae","Dipsacaceae","Above Genus ID","Single ID","Wild"
"Dipsacaceae/Compositae","Asteraceae/Dipsacaceae","Above Genus ID","Multi ID","Wild"
"Draba","Brassicaceae","Draba","Single ID","Wild"
"Echinaria","Poaceae","Echinaria","Single ID","Wild"
"Echinaria/Setaria","Poaceae","Echinaria/Setaria","Multi ID","Wild"
"Echinochloa crus-galli","Poaceae","Echinochloa","Single ID","Wild"
"Echium","Boraginaceae","Echium","Single ID","Wild"
"Echium angustifolium/judaeum","Boraginaceae","Echium","Multi ID","Wild"
"Eleocharis","Cyperaceae","Eleocharis","Single ID","Wild"
"Elymus","Poaceae","Elymus","Single ID","Wild"
"Equisetum","Equisetaceae","Equisetum","Single ID","Wild"
"Eragrostis","Poaceae","Eragrostis","Single ID","Wild"
"Eragrostis/Phleum","Poaceae","Eragrostis/Phleum","Single ID","Wild"
"Eremopoa/Loliolum","Poaceae","Eremopoa/Loliolum","Multi ID","Wild"
"Eremopyrum","Poaceae","Eremopyrum","Single ID","Wild"
"Eremopyrum bonaepartis","Poaceae","Eremopyrum","Single ID","Wild"
"Erodium","Geraniaceae","Erodium","Single ID","Wild"
"Erodium ciconium","Geraniaceae","Erodium","Single ID","Wild"
"Erodium gruinum","Geraniaceae","Erodium","Single ID","Wild"
"Erucaria","Brassicaceae","Erucaria","Single ID","Wild"
"Erucaria microcapa/rostrata","Brassicaceae","Erucaria","Multi ID","Wild"
"Euclidium","Brassicaceae","Euclidium","Single ID","Wild"
"Euclidium syriacum","Brassicaceae","Euclidium","Single ID","Wild"
"Euphorbia","Euphorbiaceae","Euphorbia","Single ID","Wild"
"Euphorbia aleppica","Euphorbiaceae","Euphorbia","Single ID","Wild"
"Euphorbiaceae","Euphorbiaceae","Above Genus ID","Single ID","Wild"
"Fabaceae","Fabaceae","Above Genus ID","Single ID","Wild"
"Fabeae","Fabaceae","Lathyrus/Lens/Pisum/Vicia","Single ID","Crop Domesticate/Progenitor"
"Faboideae","Fabaceae","Above Genus ID","Single ID","Wild"
"Ficus","Moraceae","Ficus","Single ID","Wild"
"Ficus carica","Moraceae","Ficus","Single ID","Wild"
"Foeniculum","Apiaceae","Foeniculum","Single ID","Wild"
"Fumaria","Papaveraceae","Fumaria","Single ID","Wild"
"Fumaria densiflora","Papaveraceae","Fumaria","Single ID","Wild"
"Fumaria macrocarpa","Papaveraceae","Fumaria","Single ID","Wild"
"Fumaria parviflora","Papaveraceae","Fumaria","Single ID","Wild"
"Fumaria parviflora/densiflora","Papaveraceae","Fumaria","Multi ID","Wild"
"Galium","Rubiaceae","Galium","Single ID","Wild"
"Galium aparine","Rubiaceae","Galium","Single ID","Wild"
"Galium mollugo","Rubiaceae","Galium","Single ID","Wild"
"Galium sect. Kolgyda","Rubiaceae","Galium","Single ID","Wild"
"Galium tricornutum","Rubiaceae","Galium","Single ID","Wild"
"Galium verum","Rubiaceae","Galium","Single ID","Wild"
"Gaudiniopsis","Poaceae","Gaudiniopsis","Single ID","Wild"
"Geraniaceae","Geraniaceae","Above Genus ID","Single ID","Wild"
"Geranium","Geraniaceae","Geranium","Single ID","Wild"
"Glastaria glastifolia","Brassicaceae","Glastaria","Single ID","Wild"
"Glaucium","Papaveraceae","Glaucium","Single ID","Wild"
"Glaucium aleppicum","Papaveraceae","Glaucium","Single ID","Wild"
"Glaucium corniculatum","Papaveraceae","Glaucium","Single ID","Wild"
"Glycyrrhiza","Fabaceae","Glycyrrhiza","Single ID","Wild"
"Glycyrrhiza glabra","Fabaceae","Glycyrrhiza","Single ID","Wild"
"Glycyrrhiza/Onobrychis","Fabaceae","Glycyrrhiza/Onobrychis","Multi ID","Wild"
"Gramineae/Cyperaceae","Cyperaceae/Poaceae","Above Genus ID","Multi ID","Wild"
"Gundelia tournefortii","Asteraceae","Gundelia","Single ID","Wild"
"Gypsophila","Caryophyllaceae","Silene/Gypsophila","Single ID","Wild"
"Gypsophila elegans","Caryophyllaceae","Silene/Gypsophila","Single ID","Wild"
"Gypsophila pilosa","Caryophyllaceae","Silene/Gypsophila","Single ID","Wild"
"Halothamnus hierochunticus","Amaranthaceae","Halothamnus","Single ID","Wild"
"Hammada/Salsola","Amaranthaceae","Hammada/Salsola","Multi ID","Wild"
"Helianthemum","Cistaceae","Helianthemum","Single ID","Wild"
"Helianthemum ledifolium","Cistaceae","Helianthemum","Single ID","Wild"
"Helianthemum salicifolium","Cistaceae","Helianthemum","Single ID","Wild"
"Heliotropium","Boraginaceae","Heliotropium","Single ID","Wild"
"Heliotropium europeum","Boraginaceae","Heliotropium","Single ID","Wild"
"Heliotropium persicum","Boraginaceae","Heliotropium","Single ID","Wild"
"Heliotropium rotundifolium","Boraginaceae","Heliotropium","Single ID","Wild"
"Heliotropium suaveolens","Boraginaceae","Heliotropium","Single ID","Wild"
"Henrardia pubescens","Poaceae","Henrardia","Single ID","Wild"
"Herniaria","Caryophyllaceae","Herniaria","Single ID","Wild"
"Heteranthelium","Poaceae","Heteranthelium","Single ID","Wild"
"Hibiscus trionum","Malvaceae","Hibiscus","Single ID","Wild"
"Hippocrepis","Fabaceae","Hippocrepis","Single ID","Wild"
"Holosteum","Caryophyllaceae","Holosteum","Single ID","Wild"
"Hordeum","Poaceae","Hordeum","Single ID","Presumed Crop Domesticate/Progenitor"
"Hordeum (cereal)","Poaceae","Hordeum","Single ID","Domesticated crop"
"Hordeum (non-cereal)","Poaceae","Hordeum","Single ID","Wild"
"Hordeum bulbosum","Poaceae","Hordeum","Single ID","Wild"
"Hordeum hystrix/marinum","Poaceae","Hordeum","Multi ID","Wild"
"Hordeum marinum","Poaceae","Hordeum","Single ID","Wild"
"Hordeum murinum","Poaceae","Hordeum","Single ID","Wild"
"Hordeum murinum/bulbosum","Poaceae","Hordeum","Multi ID","Wild"
"Hordeum spontaneum","Poaceae","Hordeum","Single ID","Crop Progenitor"
"Hordeum spontaneum/bulbosum","Poaceae","Hordeum","Multi ID","Progenitor/Wild"
"Hordeum vulgare","Poaceae","Hordeum","Single ID","Domesticated crop"
"Hordeum vulgare distichum","Poaceae","Hordeum","Single ID","Domesticated crop"
"Hordeum vulgare hexastichum","Poaceae","Hordeum","Single ID","Domesticated crop"
"Hordeum vulgare var. coeleste","Poaceae","Hordeum","Single ID","Domesticated crop"
"Hordeum vulgare var. nudum","Poaceae","Hordeum","Single ID","Domesticated crop"
"Hordeum vulgare var. nudum/spontaneum","Poaceae","Hordeum","Multi ID","Domesticated crop"
"Hordeum vulgare/spontaneum","Poaceae","Hordeum","Multi ID","Crop Domesticate/Progenitor"
"Hordeum/Aegilops","Poaceae","Hordeum/Aegilops","Multi ID","Wild"
"Hordeum/Bromus","Poaceae","Hordeum/Bromus","Multi ID","Wild"
"Hordeum/Elymus","Poaceae","Hordeum/Elymus","Multi ID","Wild"
"Hordeum/Lolium","Poaceae","Hordeum/Lolium","Multi ID","Wild"
"Hordeum/Secale","Poaceae","Hordeum/Secale","Multi ID","Presumed Crop Domesticate/Progenitor"
"Hordeum/Taeniatherum","Poaceae","Hordeum/Taeniatherum","Multi ID","Wild"
"Hymenocarpos circinnatus","Fabaceae","Hymenocarpos","Single ID","Wild"
"Hymenocarpos circinnatus/Hippocrepis multisilquosal unisilquosa","Fabaceae","Hymenocarpos/Hippocrepis","Multi ID","Wild"
"Hyoscyamus","Solanaceae","Hyoscyamus","Single ID","Wild"
"Hyoscyamus reticulatus","Solanaceae","Hyoscyamus","Single ID","Wild"
"Hypecoum","Papaveraceae","Hypecoum","Single ID","Wild"
"Hypericum","Hypericaceae","Hypericum","Single ID","Wild"
"Imperata","Poaceae","Imperata","Single ID","Wild"
"Imperata/Saccharum","Poaceae","Imperata/Saccharum","Multi ID","Wild"
"Isatis","Brassicaceae","Isatis","Single ID","Wild"
"Juglans","Juglandaceae","Juglans","Single ID","Wild"
"Juglans regia","Juglandaceae","Juglans","Single ID","Wild"
"Juncus","Juncaceae","Juncus","Single ID","Wild"
"Juniperus","Cupressaceae","Juniperus","Single ID","Wild"
"Koeleria","Poaceae","Koeleria","Single ID","Wild"
"Krascheninnikovia ceratoides","Amaranthaceae","Krascheninnikovia","Single ID","Wild"
"Lactuca","Asteraceae","Lactuca","Single ID","Wild"
"Lallemantia","Lamiaceae","Lallemantia","Single ID","Wild"
"Lallemantia peltata","Lamiaceae","Lallemantia","Single ID","Wild"
"Lamiaceae","Lamiaceae","Above Genus ID","Single ID","Wild"
"Lamium","Lamiaceae","Lamium","Single ID","Wild"
"Lathyrus","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus aphaca","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus cicera","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus cicera/sativus","Fabaceae","Lathyrus","Multi ID","Presumed Crop Domesticate/Progenitor"
"Lathyrus hierosolymitanus","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus hirsutus","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus inconspicuous","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus nissolia","Fabaceae","Lathyrus","Single ID","Wild"
"Lathyrus sativus","Fabaceae","Lathyrus","Single ID","Domesticated crop"
"Lathyrus sect. Cicercula","Fabaceae","Lathyrus","Single ID","Wild"
"Lavatera","Malvaceae","Lavatera","Single ID","Wild"
"Lemna","Araceae","Lemna","Single ID","Wild"
"Lens","Fabaceae","Lens","Single ID","Presumed Crop Domesticate/Progenitor"
"Lens culinaris","Fabaceae","Lens","Single ID","Domesticated crop"
"Lens orientalis","Fabaceae","Lens","Single ID","Crop Progenitor"
"Lens orientalis/culinaris","Fabaceae","Lens","Multi ID","Crop Domesticate/Progenitor"
"Lepidium","Brassicaceae","Lepidium","Single ID","Wild"
"Lepidium perfoliatum","Brassicaceae","Lepidium","Single ID","Wild"
"Lepidium ruderale","Brassicaceae","Lepidium","Single ID","Wild"
"Lepidium/Camelina","Brassicaceae","Lepidium/Camelina","Multi ID","Wild"
"Lepidium/Sisymbrium","Brassicaceae","Lepidium/Sisymbrium","Multi ID","Wild"
"Liliaceae","Liliaceae","Above Genus ID","Single ID","Wild"
"Linum","Linaceae","Linum","Single ID","Likely crop/progenitor"
"Linum bienne","Linaceae","Linum","Single ID","Crop progenitor"
"Linum bienne/usitatissimum","Linaceae","Linum","Multi ID","Domesticate/Crop progenitor"
"Linum mucronatum","Linaceae","Linum","Single ID","Wild"
"Linum usitatissimum","Linaceae","Linum","Single ID","Domesticate crop"
"Lithospermum","Boraginaceae","Lithospermum","Single ID","Wild"
"Lithospermum officinale","Boraginaceae","Lithospermum","Single ID","Wild"
"Lolium","Poaceae","Lolium","Single ID","Wild"
"Lolium perenne/rigidum","Poaceae","Lolium","Multi ID","Wild"
"Lolium rigidum","Poaceae","Lolium","Single ID","Wild"
"Lolium temulentum","Poaceae","Lolium","Single ID","Wild"
"LSLEG","Fabaceae","Pisum/Vicia/Lathyrus","Single ID","Presumed Crop Domesticate/Progenitor"
"Lupinus","Fabaceae","Lupinus","Single ID","Wild"
"Lupinus angustifolius","Fabaceae","Lupinus","Single ID","Wild"
"Lupinus pilosus","Fabaceae","Lupinus","Single ID","Wild"
"Lycium","Solanaceae","Lycium","Single ID","Wild"
"Lycopus","Lamiaceae","Lycopus","Single ID","Wild"
"Malcolmia","Brassicaceae","Malcolmia","Single ID","Wild"
"Malva","Malvaceae","Malva","Single ID","Wild"
"Malva nicaeensis","Malvaceae","Malva","Single ID","Wild"
"Malva nicaensis/sylvestris","Malvaceae","Malva","Multi ID","Wild"
"Malva parviflora","Malvaceae","Malva","Single ID","Wild"
"Malva parviflora/nicaeensis","Malvaceae","Malva","Multi ID","Wild"
"Malva sylvestris","Malvaceae","Malva","Single ID","Wild"
"Malvaceae","Malvaceae","Above Genus ID","Single ID","Wild"
"Matricaria","Asteraceae","Matricaria","Single ID","Wild"
"Medicago","Fabaceae","Medicago","Single ID","Wild"
"Medicago gousse","Fabaceae","Medicago","Single ID","Wild"
