taxon,taxon_code,Domestic_wild_status,plant_part,family
Alcea spp.,ALCESPE,W,seed/grain,Malvaceae
Alhagi sp.,ALHASPE,W,seed/grain,Brassicaceae
Alismataceae indeterminate,ALISIND,W,embryos,Alismataceae
Alkanna orientalis,ALKAORI,W,seed/grain,Boraginaceae
Alkanna Tausch sp.,ALKASPE,W,seed/grain,Boraginaceae
Alopecurus sp.,ALOPSPE,W,seed/grain,Poaceae
Alopecurus utriculatus,ALOPUTR,W,seed/grain,Poaceae
Alyssum damascenus,ALYSDAM,W,fruit valves,Cruciferae
Alyssum sp.,ALYSSPE,W,seed/grain,Brassicaceae
Alyssum/Lepidum,ALYSLEP,W,seed/grain,Brassicaceae
Amaranthaceae/Chenopodiaceae,AMARCHE,W,seed/grain,Amaranthaceae/Chenopodiaceae
Amaranthus retroflexus,AMARRET,W,seed/grain,Amaranthaceae
Amaranthus sp.,AMARSPE,W,seed/grain,Amaranthaceae
Ammi majus L.,AMMIMAJ,W,seed/grain,Apiaceae
Amygdalus communis L.,AMYGCOM,D,nutshell,Rosaceae
Amygdalus communis L.,AMYGCOM,D,seed/grain,Rosaceae
Amygdalus communis/korschinskii,AMYCOKO,tree - nut bearing,nutshell,Rosaceae
Amygdalus communis/korschinskii,AMYCOKO,tree - nut bearing,ecarp,Rosaceae
Amygdalus sp.,AMYGSPE,W,ecarp,Rosaceae
Amygdalus sp.,AMYGSPE,W,nutshell fragments,Rosaceae
Amygdalus sp.,AMYGSPE,W,seed/grain,Rosaceae
Amygdalus sp.,AMYGSPE,W,nutshell,Rosaceae
Anabasis/Noaea spp.,ANABNOA,W,seed/grain,Chenopodiaceae
Anagallis arvensis L.,ANAGARV,W,seed/grain,Primulaceae
Anagallis sp. L.,ANAGSPE,W,seed/grain,Primulaceae
Anchusa aegyptiaca/milleri,ANCAEMI,W,nutlets,Boraginaceae
Anchusa L. sp.,ANCHSPE,W,seed/grain,Boraginaceae
Anchusa officinalis,ANCHOFF,W,seed/grain,Boraginaceae
Androsace maxima L.,ANDRMAX,W,fruit,Primulaceae
Androsace maxima L.,ANDRMAX,W,seed/grain,Primulaceae
Androsace sp. L.,ANDRSPE,W,seed/grain,Primulaceae
Anisantha sp.,ANISSPE,W,seed/grain,Poaceae
Anisantha/Bromus spp.,ANISBRO,W,seed/grain,Poaceae
Anthemis pseudocotula Boiss.,ANTHPSE,W,achene,Asteraceae
Antirrhinum orontium,ANTIORO,W,capsule,Scrophulariaceae
Anvillea garcinii,ANVIGAR,W,'heads',Compositae
Apera-type,APERASP,W,seed/grain,Poaceae
Apiaceae indeterminate,UMBEIND,W,fruit,Apiaceae
Apiaceae indeterminate,UMBEIND,W,seed/grain,Apiaceae
Arabis/Cardamine spp.,ARABCAR,W,seed/grain,Cruciferae
Arbutilon teophrastii,ARBUTEO,shrub,seed/grain,Malvaceae
Arenaria serpyllifolia,ARENSER,W,seed/grain,Caryophyllaceae
Arenaria sp.,ARENSPE,W,seed/grain,Caryophyllaceae
Arenaria/Minuartia spp.,ARENMIN,W,seed/grain,Caryophyllaceae
"Arnebia decumbens  (Vent.) Cosson & Kralik, uncarbonized",ARNDEUC,W,seed/grain,Boraginaceae
Arnebia decumbens (Vent.) Cosson & Kralik,ARNEDEC,W,seed/grain,Boraginaceae
Arnebia Forssk. sp.,ARNESPE,W,seed/grain,Boraginaceae
Arnebia linearifolia DC.,ARNELIN,W,seed/grain,Boraginaceae
Arnebia/Lithospermum,ARNELTH,W,seed/grain,Boraginaceae
Arrhenatherum,ARRHSPE,W,seed/grain,Poaceae
Artemisia annua,ARTEANN,W,seed/grain,Compositae
Artemisia sp. L.,ARTESPE,W,seed/grain,Asteraceae
Artemisia vulgaris,ARTEVUL,W,seed/grain,Compositae
Asclepiadaceae indeterminate,ASCLIND,W,seed/grain,Asclepiadaceae
Asparagus sp.,ASPASPE,W,seed/grain,Liliaceae
Asperula sp.,ASPESPE,W,seed/grain,Rubiaceae
Asperula/Galium sp.,ASPEGAL,W,seed/grain,Rubiaceae
Asphodelus spp.,ASPHSPE,W,seed/grain,Liliaceae
Asteraceae indet.,COMPIND,W,seed and kernals,Asteraceae
Asterolinon linum-stellatum,ASTELIS,W,seed/grain,Primulaceae
Astragalus callichrous,ASTRCAL,W,seed/grain,Leguminosae
Astragalus sp.,ASTRSPE,W,seed/grain,Fabaceae
Astragalus/Trigonella,ASTRTRI,W,seed/grain,Fabaceae
Atriplex leucoclada,ATRILEU,W,dispersal unit,Chenopodiaceae
Atriplex rosea,ATRIROS,W,dispersal unit,Chenopodiaceae
Atriplex sp.,ATRISPE,W,seeds and bracts,Chenopodiaceae
Atriplex tatarica,ATRITAT,W,seed/grain,Chenopodiaceae
Avena barbata Pott,AVENBAR,W,seed/grain,Poaceae
Avena ludoviciana,AVENLUD,W,seed/grain,Poaceae
Avena sp.,AVENSPE,W,seed/grain,Poaceae
Avena sp. awns,AVENSPA,W,awn,Poaceae
Avena sp. rachilla charred,AVENSPR,W,rachilla node,Poaceae
Avena sp. spikelet,AVENSPS,W,chaff - spikelet fork,Poaceae
Avena sterilis L.,AVENSTE,W,seed/grain,Poaceae
Avena wiestii Steudel,AVENWIE,W,seed/grain,Poaceae
Avena/Stipa,AVENSTI,W,seed/grain,Poaceae
Aveninae,AVENINA,W,seed/grain,Poaceae
Bellevalia sp.,BELLSPE,W,seed/grain,Liliaceae
Bellevalia/Muscari sp.,BELLMUS,W,seed/grain,Liliaceae
Bellevalia/Ornithogalum spp.,BELLORN,W,seed/grain,Liliaceae
Bellevaria/Asphoderus,BELLASP,W,seed/grain,Liliaceae
Beta sp.,BETASPE,W,seed/grain,Chenopodiaceae
Beta vulgaris L.,BETAVUL,D,seed/grain,Chenopodiaceae
Bifora spp.,BIFOSPE,W,seed/grain,Umbelliferae
Boraginaceae indeterminate,BORAIND,W,seed/grain/esperm,Boraginaceae
Brachypodium distachyon,BRACDIS,W,seed/grain,Poaceae
Brassica nigra (L.) Koch,BRASNIG,D,seed/grain,Brassicaceae
Brassica sp.,BRASSPE,W,seed/grain,Brassicaceae
Brassica/Sinapis sp.,BRASSIN,W,seed/grain,Brassicaceae
Brassicaceae indet.,CRUCIND,W,seeds and siliqua,Brassicaceae
Brinza minor,BRIZMIN,W,seed/grain,Poaceae
Briza sp.,BRIZSPE,W,seed/grain,Poaceae
Bromus arvensis,BROMARV,W,seed/grain,Poaceae
Bromus danthoniae type,BROMDAT,W,seed/grain,Poaceae
Bromus sp.,BROMSPE,W,seed/grain,Poaceae
Bromus sterilis L.,BROMSTE,W,seed/grain,Poaceae
Bromus/Aegilops spp.,BROmAEG,W,seed/grain,Poaceae
Buglossoides arvensis (L.) Johnston,BUGLARV,W,seed/grain,Boraginaceae
Buglossoides Moench sp.,BUGLSPE,W,seed/grain,Boraginaceae
Buglossoides tenuiflora (L. fil.) Johnston,BUGLTEN,W,seed/grain,Boraginaceae
Bupleurum rotundifolium type,BUPLROT,W,seed/grain,Apiaceae
Bupleurum sp. L.,BUPLSPE,W,seed/grain,Apiaceae
Bupleurum subovatum Link. ex Spreng. var. heterophyllum (Link) Wolff in Engler,BUPLSUB,W,seed/grain,Apiaceae
Calendula sp. L.,CALESPE,W,seed/grain,Asteraceae
Camelina microcarpa,CAMEMIC,W,seed/grain,Brassicaceae
Camelina spp.,CAMESPE,W,seed/grain,Cruciferae
Campanula spp.,CAMASPE,W,seed/grain,Campanulaceae
Campanulaceae indeterminate,CAMPIND,W,seed/grain,Campanulaceae
Camphorosma monspeliaca,CAMPMON,W,seed/grain,Chenopodiaceae
Camphorosma spp.,CAMPSPE,W,seed/grain,Chenopodiaceae
Capparis sp.,CAPPSPE,W,seed/grain,Capparaceae
Capparis spinosa L.,CAPPSPI,W,seed/grain,Capparaceae
Capsella bursa-pastoris,CAPSBUP,W,seed/grain,Cruciferae
Capsella spp.,CAPSSPE,W,seed/grain,Cruciferae
Carex divisa Hudson,CAREDIV,W,seed/grain,Cyperaceae
Carex sp.,CARESPE,W,seed/grain,Cyperaceae
Carrichtera annua,CARRANN,W,valves/fruit beaks,Brassicaceae
Carthamus sp. L.,CARTSPE,W,seed/grain,Asteraceae
Carthamus tenuis,CARTTEN,W,achene,Compositae
Caryophyllaceae indet.,CARYIND,W,seed/grain,Caryophyllaceae
Caryophyllaceae/Chenopodiaceae indet.,CARYCHE,W,seed/grain,Caryophyllaceae/Chenopodiaceae
Caryophyllaceae/Malvaceae,CARYMAL,W,seed/grain,Caryophyllaceae/Chenopodiaceae
Catabrosa aquatica,CATAAQU,W,seed/grain,Poaceae
Celtis sp.,CELTSPE,W,nutshell,Ulmaceae
Celtis sp.,CELTSPE,W,seed/grain,Ulmaceae
Celtis tournefortii,CELTTOU,tree - fruit bearing,seed/grain,Ulmaceae
Celtis tournefortii,CELTTOU,tree - fruit bearing,endocarp,Ulmaceae
Celtis tournefortii/australis,CELTOAU,W,seed/grain,Ulmaceae
Centaurea ammocyanus/pallescens,CENAMPA,W,seed/grain,Compositae
Centaurea sp. L.,CENTSPE,W,seed/grain,Asteraceae
Centaurea/Cirsium spp.,CENTCIR,W,seed/grain,Compositae
Cephalaria sp. Schrader ex Roemer & Schultes,CEPHSPE,W,seed/grain,Dipsacaceae
Cephalaria syriaca (L.) Schrader,CEPHSYR,W,seed/grain,Dipsacaceae
Cerastium sp.,CERASPE,W,seed/grain,Caryophyllaceae
Cerastium/Stellaria spp.,CERASTE,W,seed/grain,Caryophyllaceae
Ceratonia siliqua L.,CERASIL,W,seed/grain,Fabaceae
Cereal indeterminate basal culm,CERINDB,D,chaff,Poaceae
Cereal indeterminate chaff,CERINDF,D,chaff,Poaceae
Cereal indeterminate culm,CERINDC,D,chaff,Poaceae
Cereal indeterminate grains,CERINDG,D,fragments,Poaceae
Cereal indeterminate grains,CERINDG,D,seed/grain,Poaceae
Chara sp.,CHARSPE,W,nocules,Characeae
Chenopodiaceae indet.,CHENIND,W,embryos,Chenopodiaceae
Chenopodiaceae indet.,CHENIND,W,seed/grain,Chenopodiaceae
Chenopodiaceae/Capparis/etc. spiral  embryo indeterminate,CHENCAP,W,seed/grain,Chenopodiaceae
Chenopodiaceae/Capparis/etc. spiral  embryo indeterminate,CHENCAP,W,embryo,Chenopodiaceae
Chenopodiaceae/Capparis/etc. spiral  embryo indeterminate,CHENCAP,W,spiral embryos,Chenopodiaceae
Chenopodiaceae/Caryophyllaceae indeterminate,CHENCAR,W,spiral embryos,Chenopodiaceae
Chenopodiaceae/Caryophyllaceae indeterminate,CHENCAR,W,seed/grain,Chenopodiaceae
Chenopodiaceae/incumbent Cruciferae indeterminate,CHENCRU,W,seed/grain,Chenopodiaceae
Chenopodium album L.,CHENALB,W,seed/grain,Chenopodiaceae
Chenopodium sp.,CHENSPE,W,seed/grain,Chenopodiaceae
Chenopodium/Atriplex,CHENATR,W,seed/grain,Chenopodiaceae
Chrozophora spp.,CHROSPE,W,seed/grain,Euphorbiaceae
Chrozophora verbascifolia,CHROVER,W,seed/grain,Euphorbiaceae
Chrysanthemum coronarium,CHRYCOR,W,achene,Asteraceae
Chrysanthemum sp.,CHRYSPE,W,seed/grain,Asteraceae
Cicer arietinum L.,CICEARI,D,seed/grain,Fabaceae
Cicer sp.,CICESPE,W,seed/grain,Fabaceae
Cichorium intybus L.,CICHINT,W,seed/grain,Lactuceae
Cirsium spp.,CIRSSPE,W,seed/grain,Asteraceae
Cirsium/Carduus,CIRSCAR,W,seed/grain,Asteraceae
Citrullus colocynthis (L.) Schrader in Linnaea,CITRCOL,W,seed/grain,Cucurbitaceae
Cladium mariscus (L.) Pohl,CLADMAR,W,seed/grain,Cyperaceae
Cleistogenes,CLEISPE,W,seed/grain,Poaceae
Clematis spp.,CLEMSPE,W,seed/grain,Ranunculaceae
Cleome ornithopodioides,CLEOORN,W,seed/grain,Capparaceae
Cleome sp.,CLEOSPE,W,seed/grain,Capparaceae
Colutea spp.,COLUSPE,W,seed/grain,Leguminosae
Convolvulus arvensis L.,CONVARV,W,seed/grain,Convolvulaceae
Convolvulus sp. L.,CONVSPE,W,seed/grain,Convolvulaceae
Coriandrum sativum,CORISAT,D,fruits,Apiaceae
Cornus mas L.,CORNMAS,W,seed/grain,Cornaceae
Coronilla scorpioides (L.) Koch,COROSCO,W,seed/grain,Fabaceae
Coronilla sp.,COROSPE,W,seed/grain,Fabaceae
Corydalis spp.,CORYSPE,W,seed/grain,Papaveraceae
Crataegus sp. L.,CRATSPE,W,seed/grain,Rosaceae
Crepis aspera,CREPASP,W,seed/grain,Asteraceae
Crepis spp.,CREPSPE,W,seed/grain,Compositae
Crithopsis deliliana,CRITDEL,W,seed/grain,Poaceae
Crucianella / Plantago,CRUCPLA,W,seed/grain,Rubiaceae
Crucianella sp.,CRUCSPE,W,seed/grain,Rubiaceae
Crupina crupinastrum,CRUPCRU,W,'heads'/achenes/pappuses,Compositae
Crypsis sp.,CRYPSPE,W,seed/grain,Poaceae
Cucurbitaceae indeterminate,CUCUIND,W,seed/grain,Cucurbitaceae
Cupressus sempervirens,CUPRSEM,W,fruit scale,Cupressaceae
Cuscuta sp. L.,CUSCSPE,W,seed/grain,Cuscutaceae
Cutandia spp.,CUTASPE,W,seed/grain,Poaceae
Cynodon dactylon (L.) Pers.,CYNODAC,W,seed/grain,Poaceae
Cynodon sp.,CYNOSPE,W,seed/grain,Poaceae
Cyperaceae indet.,CYPEIND,W,seed/grain,Cyperaceae
Cyperus sp.,CYPESPE,W,seed/grain,Cyperaceae
Datura spp.,DATUSPE,tree/shrub,seed/grain,Solanaceae
Descurainia sophia,DESCSOP,W,seed/grain,Cruciferae
Dipsacaceae indeterminate,DIPSIND,W,seed/grain,Dipsacaceae
Draba spp.,DRABSPE,W,seed/grain,Cruciferae
Echinaria capitata (L.) Desf.,ECHICAP,W,seed/grain,Poaceae
Echinaria spp.,ECHNSPE,W,seed/grain,Poaceae
Echinochloa crus-galli (L.) P. Beauv.,ECHICRG,W,seed/grain,Poaceae
Echium L. sp.,ECHISPE,W,seed/grain,Boraginaceae
Eleocharis sp.,ELEOSPE,W,seed/grain,Cyperaceae
Elymus sp.,ELYMSPE,W,seed/grain,Poaceae
Equisetum spp.,EQUISPE,W,seed/grain,Equisetaceae
Eragrostis sp.,ERAGSPE,W,seed/grain,Poaceae
Eremopyrum bonaepartis,EREMBON,W,seed/grain,Poaceae
Eremopyrum sp.,EREMSPE,W,seed/grain,Poaceae
Erodium ciconium,ERODCIC,W,mericarps and beak (frag),Geraniaceae
Erodium gruinum,ERODGRU,W,beak (frags),Geraniaceae
Erodium sp.,ERODSPE,W,awn,Geraniaceae
Erodium sp.,ERODSPE,W,mericarps and beak (frag),Geraniaceae
Erodium sp.,ERODSPE,W,seed/grain,Geraniaceae
Erodium sp. Awn frag,ERODSAF,W,chaff- awn frag,Geraniaceae
Erodium spiral beak,EROSPBE,W,seed/grain,Geraniaceae
Eruca spp.,ERUCSPE,W,seed/grain,Cruciferae
Erucaria microcarpa/rostrata,ERUMIRO,W,seed/grain,Cruciferae
Euclidium spp.,EUCLSPE,W,seed/grain,Cruciferae
Euclidium syriacum,EUCLSRI,W,seed/grain,Brassicaceae
Euclidium syriacum (L.) R.,EUCLSYR,W,seed/grain,Brassicaceae
Euphorbia sp.,EUPHSPE,W,seed/grain,Euphorbiaceae
Euphorbiaceae indeterminate,EUPHIND,W,seed/grain,Euphorbiaceae
Fabaceae indet.,LEGUIND,W,seed/grain,Fabaceae
Fabaceae indeterminate large,LEGUINL,W,seed/grain,Fabaceae
Fabaceae indeterminate small,LEGUINS,W,seed/grain,Fabaceae
Fagonia sp.,FAGOSPE,W,seed/grain,Zygophyllaceae
Festuca type,FESTTYP,W,seed/grain,Poaceae
Ficus carica L.,FICUCAR,D,fruit,Moraceae
Ficus carica L.,FICUCAR,D,seed/grain,Moraceae
Ficus carica L. fruit,FICUCAF,W,seed/grain,Moraceae
Ficus sp.,FICUSPE,W,seed/grain,Moraceae
Ficus sp. Fragments of fruit pulp,FICUFFP,tree,seed/grain,Moraceae
Foeniculum spp.,FOENSPE,W,seed/grain,Umbelliferae
Fumaria densiflora,FUMADEN,W,seed/grain,Papaveraceae
Fumaria densiflora,FUMADEN,W,fruits,Papaveraceae
Fumaria parviflora Lam.,FUMAPAR,W,seed/grain,Papaveraceae
Fumaria sp.,FUMASPE,W,seed/grain,Papaveraceae
Galium ceratopodium,GALICER,W,seed/grain,Rubiaceae
Galium mollugo,GALIMOL,W,seed/grain,Rubiaceae
Galium sp.,GALISPE,W,seed/grain,Rubiaceae
Galium tricornutum Dandy,GALITRI,W,seed/grain,Rubiaceae
Gaudinopsis spp.,GAUDSPE,W,seed/grain,Poaceae
Genista sp.,GENISPE,W,seed/grain,Fabaceae
Geraniaceae,GERAIND,W,seed/grain,Geraniaceae
Geranium sp.,GERASPE,W,seed/grain,Geraniaceae
Glaucium aleppicum,GLAUALE,W,seed/grain,Papaveraceae
Glaucium corniculatum (L.) Rud.,GLAUCOR,W,seed/grain,Papaveraceae
Glaucium sp.,GLAUSPE,W,seed/grain,Papaveraceae
Glycyrrhiza sp.,GLYCSPE,W,seed/grain,Fabaceae
Gundelia tournefortii,GUNDTOU,W,seed/grain,Compositae
Gypsophila elegans,GYPSELE,W,seed/grain,Caryophyllaceae
Gypsophila pilosa Hudson,GYPSPIL,W,seed/grain,Caryophyllaceae
Gypsophila sp.,GYPSSPE,W,seed/grain,Caryophyllaceae
Halothamnus hierochunticus,HALOHIE,W,utricle,Chenopodiaceae
Hammada/Salsola spp.,HAMMSAL,W,seed/grain,Chenopodiaceae
Haplophyllum spp.,HAPLSPE,W,seed/grain,Rutaceae
Helianthemum ledifolium,HELILED,W,seed/grain,Cistaceae
Helianthemum salicifolium (L.) Miller,HELISAL,W,seed/grain,Cistaceae
Helianthemum sp.,HELISPE,W,seed/grain,Cistaceae
Heliotropium europaeum L.,HELOEUR,W,seed/grain,Boraginaceae
Heliotropium L. sp.,HELOSPE,W,seed/grain,Boraginaceae
Heliotropium rotundifolium,HELOROT,W,seed/grain,Boraginaceae
Heliotropium suaveolens,HELOSUA,W,seed/grain,Boraginaceae
Henrardia pubescens,HENRPUB,W,seed/grain,Poaceae
Herniaria sp.,HERNSPE,W,seed/grain,Illecebraceae
Heteranthelium spp.,HETESPE,W,seed/grain,Poaceae
Hibiscus trionum,HIBITRI,W,seed/grain,Malvaceae
Hippocrepis sp.,HIPPSPE,W,seed/grain,Fabaceae
Holosteum spp.,HOLOSPE,W,seed/grain,Caryophyllaceae
Hordeum bulbosum,HORBUBU,W,seed/grain,Poaceae
Hordeum bulbosum,HORDBUL,W,seed/grain,Poaceae
Hordeum bulbosum/spontaneum,HORBUSP,WilD grass/cereal,seed/grain,Poaceae
Hordeum glaucum,HORDGLA,W,seed/grain,Poaceae
Hordeum hystrix/marinum,HORHYMA,W,seed/grain,Poaceae
Hordeum marinum,HORDMAR,W,seed/grain,Poaceae
Hordeum murinum L.,HORDMUR,W,chaff - spikelet fork,Poaceae
Hordeum murinum L.,HORDMUR,W,seed/grain,Poaceae
Hordeum murinum/bulbosum,HORMUBU,W,seed/grain,Poaceae
Hordeum murinum/bulbosum base,HORMBBA,W,base,Poaceae
Hordeum sativum / nudum grains (indeterminate hulled) asymmetrical,HORDNUA,D,seed/grain,Poaceae
Hordeum sativum / nudum grains (indeterminate hulled) symmetrical,HORDNUS,D,seed/grain,Poaceae
Hordeum sativum grains (2-row hulled),HORDSAT,D,seed/grain,Poaceae
Hordeum sativum grains (6 row hulled),HORDSAS,D,seed/grain,Poaceae
Hordeum sativum grains (indeterminate hulled),HORDSAI,D,seed/grain,Poaceae
Hordeum sativum grains (indeterminate hulled) asymmetrical,HORDASY,D,seed/grain,Poaceae
Hordeum sativum grains (indeterminate hulled) symmetrical,HORDSSY,D,seed/grain,Poaceae
Hordeum sativum hulled or naked grains,HORSASN,D,seed/grain,Poaceae
Hordeum sativum hulled or naked rachis internodes,HORSSNR,D,chaff,Poaceae
Hordeum sativum naked grains,HORDSAN,D,seed/grain,Poaceae
Hordeum sativum naked rachis internodes,HORDSNR,D,rachis,Poaceae
Hordeum sativum rachis internodes,HORDSRA,D,chaff,Poaceae
Hordeum sativum rachis internodes (2-row hulled),HORDSRT,D,chaff,Poaceae
Hordeum sativum rachis internodes (indeterminate hulled),HORDSRI,D,rachis internodes,Poaceae
Hordeum sp. (imprints),HORDSPE,W,seed/grain,Poaceae
Hordeum sp. (wild),HORDSPW,W,seed/grain,Poaceae
Hordeum sp. awns,HORDSPA,W,chaff,Poaceae
Hordeum sp. glume remains,HORDSPG,W,chaff - glume base,Poaceae
Hordeum sp. grains,HORDSPC,W,seed/grain,Poaceae
Hordeum sp. rachis internodes,HORDRAI,W,chaff,Poaceae
Hordeum spontaneum glume base,HORDSGB,W,glume base,Poaceae
Hordeum spontaneum Koch,HORDSPO,W,grains/triplets/spikelets,Poaceae
Hordeum spontaneum Koch,HORDSPO,W,seed/grain,Poaceae
Hordeum spontaneum rachis internodes,HORDSPR,W,chaff,Poaceae
Hordeum spontaneum/sativum grains,HORSPSA,W,seed/grain,Poaceae
Hordeum spontaneum/sativum lateral floret base,HORSPLF,W,chaff - rachis,Poaceae
Hordeum spontaneum/sativum rachis internodes,HORSPSR,WilD/Domestic cereal,rachis internodes,Poaceae
Hordeum spontaneum/sativum spikelet fork,HOSPSAS,W/D,chaff - spikelet fork,Poaceae
Hordeum/Elymus spp.,HORDELY,W,seed/grain,Poaceae
Hordeum/Secale rachis internodes,HORSECR,W,chaff,Poaceae
Hyoscyamus reticulatus,HYOSRET,W,seed/grain,Solanaceae
Hyoscyamus sp.,HYOSSPE,W,seed/grain,Solanaceae
Hypecoum sp.,HYPCSPE,W,seed/grain,Papaveraceae
Hypericum sp.,HYPESPE,W,seed/grain,Hypericaceae
Hypochoeris sp.,HYPOSPE,W,seed/grain,
Illecebrecaceae indeterminate,ILLEIND,W,seed/grain,Illecebrecaeae
Imperata sp.,IMPESPE,W,seed/grain,Poaceae
Imperata/Saccharum spp.,IMPESAC,W,seed/grain,Poaceae
indeterminata,INDETER,W,presence,-
indeterminata,INDETER,W,seed/grain /bud,-
indeterminata wild,INDETWI,W,seed/grain,-
indeterminate fruit,INDETFR,W,seed/grain,-
indeterminate fruit,INDETRH,W,fruit,-
indeterminate fruit,INDETFR,W,fruit,-
indeterminate nut fragments,INDETNT,W,fragments,-
indeterminate nut fragments,INDETNT,W,seed/grain,-
indeterminate nut fragments,INDETNT,W,nutshell,-
Isatis spp.,ISATSPE,W,seed/grain,Cruciferae
Juncus sp.,JUNCSPE,W,seed/grain,Juncaceae
Juniperus sp.,JUNISPE,W,nutlets,Cupressaceae
Kochia prostrata,KOCHPRO,W,seed/grain,Chenopodiaceae
Koeleria spp.,KOELSPE,W,seed/grain,Poaceae
Krascheninnikova ceratonia,KRASCER,W,seed/grain,Chenopodiaceae
Lactuca sp.,LACTSPE,W,seed/grain,Asteraceae
Lallemantia sp.,LALLSPE,W,seed/grain,Lamiaceae
Lamiaceae indet.,LABIIND,W,seed/grain,Lamiaceae
Lamium spp.,LAMISPE,W,seed/grain,Labiatae
Lathyrus aphaca L.,LATHAPH,W,seed/grain,Fabaceae
Lathyrus cicera L.,LATHCIC,W,seed/grain,Fabaceae
Lathyrus cicera/sativus,LATCISA,D,seed/grain,Fabaceae
Lathyrus hirsutus L.,LATHHIR,W,seed/grain,Fabaceae
Lathyrus nissolia,LATHNIS,W,seed/grain,Leguminosae
Lathyrus sativus L.,LATHSAT,D,seed/grain,Fabaceae
Lathyrus sp.,LATHSPE,W,seed/grain,Fabaceae
Lathyrus type,LATHTYP,W,seed/grain,Fabaceae
Lens culinaris Medik.,LENSCUL,D,seed/grain,Fabaceae
Lens orientalis,LENSORI,WilD pulse,seed/grain,Leguminosae
Lens sp.,LENSSPE,D,seed/grain,Fabaceae
Lepidium perfoliatum,LEPIPER,W,seed/grain,Cruciferae
Lepidium ruderale,LEPIRUD,W,seed/grain,Cruciferae
Lepidium sp.,LEPISPE,W,seed/grain,Brassicaceae
Liliaceae indeterminate,LILIIND,W,seed/grain,Liliaceae
Linum bienne,LINUBIE,WilD oil/fibre plant,seed/grain,Linaceae
Linum sp.,LINUSPE,W,seed/grain,Linaceae
Linum usitatissimum L.,LINUUSI,D,seed/grain,Linaceae
Lithospermum arvense L.,LITHSPM,W,seed/grain,Boraginaceae
Lithospermum L. sp.,LITHSPE,W,seed/grain,Boraginaceae
Lithospermum officinale L.,LITHOFF,W,seed/grain,Boraginaceae
Lolium perenne L.,LOLIPER,W,seed/grain,Poaceae
Lolium persicum type,LOLPSTY,W,seed/grain,Poaceae
Lolium rigidum Gaudin,LOLIRIG,W,seed/grain,Poaceae
Lolium rigidum/perenne,LOLRIPE,W,seed/grain,Poaceae
Lolium sp.,LOLISPE,W,seed/grain,Poaceae
Lolium sp./ Hordeum,LOLIHOL,W,seed/grain,Poaceae
Lolium temulentum L.,LOLITEM,W,seed/grain,Poaceae
Lolium/Poa,LOLIPOA,W,seed/grain,Poaceae
Lupinus angustifolius,LUPIANG,W,seed/grain,Fabaceae
Lupinus sp.,LUPISPE,W,seed/grain,Fabaceae
Lycium spp.,LYCISPE,W,seed/grain,Solanaceae
Lycopus sp.,LYCOSPE,W,seed/grain,Lamiaceae
Malcomia spp.,MALCSPE,W,seed/grain,Cruciferae
"Maloideae (e.g., incl. Malus, Pyrus, Sorbus, Cydonia, etc.]",MALOIDE,W,seed/grain,Maloideae
